(4.69042,0,0)
(4.12311,0,0)
(2.44949,0,0)
(5.19615,0,0)
(3,0,0)
(4.69042,0,0)
(1.73205,0,0)
(3.31662,0,0)
(3,0,0)
(5.19615,0,0)
(4.3589,0,0)
(2.44949,0,0)
(4.12311,0,0)
(3.31662,0,0)
(3.31662,0,0)
(3.74166,0,0)
(4.69042,0,0)
(3.74166,0,0)
(3.74166,0,0)
(3,0,0)
(4.69042,0,0)
(2.44949,0,0)
(4.12311,0,0)
(3.74166,0,0)
(3.74166,0,0)
(3.31662,0,0)
(3.31662,0,0)
(3.74166,0,0)
(3.74166,0,0)
(4.69042,0,0)
(3.31662,0,0)
(4.12311,0,0)
(3.31662,0,0)
(4.3589,0,0)
(2.44949,0,0)
(3.31662,0,0)
(4.3589,0,0)
(4.69042,0,0)
(3.31662,0,0)
(1.73205,0,0)
(3.74166,0,0)
(4.3589,0,0)
(3.74166,0,0)
(4.12311,0,0)
(3,0,0)
(3.74166,0,0)
(3,0,0)
(3.31662,0,0)
(4.69042,0,0)
(4.3589,0,0)
(4.69042,0,0)
(3.74166,0,0)
(3.31662,0,0)
(4.69042,0,0)
(4.3589,0,0)
(2.44949,0,0)
(4.69042,0,0)
(4.69042,0,0)
(1.73205,0,0)
(2.44949,0,0)
(3.74166,0,0)
(3.74166,0,0)
(3.74166,0,0)
(4.69042,0,0)
